,problem,dimension,success,time,feval,gradnorm,nits,fevals,single_evals,message
24,DENSCHNE,3,True,0.011607170104980469,3.638679487714342e-15,1.2064292877943515e-07,38,40,40,First order condition met
25,DMN15333LS,99,False,60.7305109500885,159.73367578562636,37.52627204904955,4999,5001,5001,Exceed max iterations
26,PALMER8C,8,True,0.008805036544799805,0.1597678341320261,5.334696543513166e-06,27,29,29,First order condition met
27,DIAMON3DLS,99,False,46.042092084884644,399.86130512629325,118.66120459133269,4999,5001,5001,Exceed max iterations
28,PALMER5D,4,False,0.012571096420288086,87.33939293026924,1.0473820766970086e-05,43,44,44,TR radius too small
29,EXPFIT,2,False,0.014382123947143555,0.2405104678855423,1.011820628046537e-05,48,49,49,TR radius too small
30,HELIX,3,True,0.013998031616210938,4.1217860178041495e-14,3.437340636566252e-07,43,45,45,First order condition met
31,LSC2LS,3,False,0.026818037033081055,13.87788300961256,0.0004777954008555586,89,90,90,TR radius too small
32,KOWOSB,4,True,0.015064001083374023,0.0003078007170297381,9.588683110858493e-07,42,44,44,First order condition met
33,S308,2,True,0.005883932113647461,0.773199001327157,7.428864107582653e-07,20,22,22,First order condition met
34,DANIWOODLS,2,False,0.011306047439575195,0.004317288250604179,1.0217601862378827e-05,46,47,47,TR radius too small
35,DENSCHNF,2,False,0.011246919631958008,5.195843755245733e-13,1.7847162114420253e-05,44,45,45,TR radius too small
36,PALMER4C,8,True,0.012625932693481445,0.050310688156173455,4.64806819012654e-07,33,35,35,First order condition met
37,YFITU,3,False,0.07640218734741211,2.293821428156831e-09,0.002985381571267614,248,249,249,TR radius too small
38,GAUSS2LS,8,False,0.0434112548828125,1247.5279307426827,1.1642061797743115,82,83,83,TR radius too small
39,CHWIRUT1LS,3,False,0.016749858856201172,2384.476781090314,0.22224139321168193,65,66,66,TR radius too small
40,COOLHANSLS,9,False,0.05104398727416992,4.934709070880672e-05,0.2564422376436292,97,98,98,TR radius too small
41,HAHN1LS,7,False,0.5424633026123047,7.673281753586849,3393522.341152184,1193,1194,1194,TR radius too small
42,HIMMELBB,2,True,0.0056569576263427734,2.868105947278652e-28,6.386980301540632e-11,26,28,28,First order condition met
43,VESUVIOLS,8,False,0.1718120574951172,991.4099575437381,9065.695692740734,258,259,259,TR radius too small
44,PALMER3C,8,False,0.01839303970336914,0.019537638793451606,4.089713991132318e-05,64,65,65,TR radius too small
45,LUKSAN22LS,100,False,0.27764391899108887,872.92476354632,0.018782122257954822,387,388,388,TR radius too small
46,CHNROSNB,50,False,0.7800309658050537,7.766573149543656e-10,5.749585011863381e-05,1213,1214,1214,TR radius too small
47,LOGHAIRY,2,False,0.0009660720825195312,6.552519798278809,0.0017394914420467305,11,12,12,TR radius too small
48,HYDCAR6LS,29,False,4.025532960891724,0.00973960452730854,0.1087900787839546,4999,5001,5001,Exceed max iterations
49,LANCZOS2LS,6,True,0.03159809112548828,4.3503221757168475e-06,4.507652218595457e-06,59,61,61,First order condition met
50,HEART6LS,6,False,0.6136901378631592,3.577395358889124e-06,1.5682118041836082,1532,1533,1533,TR radius too small
51,HIMMELBG,2,True,0.005378007888793945,2.342861906037271e-19,1.558830507353891e-09,19,21,21,First order condition met
52,MARATOSB,2,False,0.41788291931152344,-1.000000121967809,0.046308062174711694,1582,1583,1583,TR radius too small
53,TOINTQOR,50,False,0.033349037170410156,1175.472201336082,0.009062689693676193,55,56,56,TR radius too small
54,BRKMCC,2,True,0.0012938976287841797,0.1690426759701222,3.838627755901657e-06,3,5,5,First order condition met
55,STRTCHDV,10,True,0.013466835021972656,2.2224653172344034e-09,6.3751226592153195e-06,29,31,31,First order condition met
56,POWELLBSLS,2,False,0.11793899536132812,3.692031249613592e-07,0.009839121135533145,542,543,543,TR radius too small
57,DEVGLA2,5,False,0.0002162456512451172,,,0,2,2,Obj is nan or +/-inf
58,HILBERTA,2,True,0.002187013626098633,7.396756053740043e-18,2.527753019995434e-09,7,9,9,First order condition met
59,RECIPELS,3,True,0.003528118133544922,1.3880799288586834e-11,6.386687608092197e-08,7,9,9,First order condition met
60,PALMER2C,8,False,0.023215055465698242,0.014368885272033616,2.9482417457732265e-05,65,66,66,TR radius too small
61,HIMMELBF,4,False,0.02416706085205078,318.57141567343206,0.0025449720894709605,73,74,74,TR radius too small
62,ROSENBRTU,2,False,0.0009810924530029297,100.9885505437851,0.002895551066627144,11,12,12,TR radius too small
63,STRATEC,10,True,0.014417886734008789,3.6893488147419103e+19,0.0,0,1,1,First order condition met
64,MGH17LS,5,True,0.024232149124145508,1.0224312142416652,9.551484939786475e-06,64,66,66,First order condition met
65,DEVGLA1,4,False,0.00017309188842773438,,,0,2,2,Obj is nan or +/-inf
66,BENNETT5LS,3,False,0.02367424964904785,0.0005383761726325473,0.19483105095205297,85,86,86,TR radius too small
