,problem,success,time,feval,gradnorm,nits,fevals,single_evals,message
33,S308,converged,0.010386943817138672,0.7731990564929244,7.476185595600564e-08,17,22,18,First order condition met
34,DANIWOODLS,converged,0.01792001724243164,103.91782120049967,8.644203702825192e-07,21,26,22,First order condition met
35,DENSCHNF,converged,0.0463871955871582,1.64502397160902e-25,6.229388739474624e-12,47,55,47,First order condition met
36,PALMER4C,converged,0.035830020904541016,0.050310688146477565,5.239816533542742e-07,37,42,38,First order condition met
37,YFITU,converged,0.24292683601379395,5.3633327225338574e-12,2.982699553959549e-08,253,263,162,First order condition met
38,GAUSS2LS,failed,0.12000107765197754,1247.5282092309978,0.00014154415644085093,96,101,65,TR radius too small
39,CHWIRUT1LS,failed,0.09115433692932129,2384.4771393093492,0.07072245612970376,92,97,68,TR radius too small
40,COOLHANSLS,converged,3.094475030899048,8.162107466859026e-10,9.271929101256036e-07,1765,1779,171,First order condition met
41,HAHN1LS,failed,3.2458271980285645,1.5353045266888812,1411776.0277028305,1999,2009,758,Exceed max iterations
42,HIMMELBB,converged,0.03057408332824707,2.1179913873272314e-17,1.0841267913284167e-08,32,37,33,First order condition met
43,VESUVIOLS,failed,0.4147911071777344,991.4100028725765,0.003454976449356823,269,276,197,TR radius too small
44,PALMER3C,converged,0.03863406181335449,0.019537638959407532,2.068953142100492e-07,39,44,40,First order condition met
45,LUKSAN22LS,failed,5.814712047576904,868.9405628747047,0.007500596404491916,1999,2009,127,Exceed max iterations
46,CHNROSNB,failed,2.228240966796875,3.3035561575907466e-13,2.6042534022234074e-06,782,795,561,TR radius too small
47,LOGHAIRY,failed,1.655791997909546,5.55081725304949,0.0031388503097138317,1999,2005,1059,Exceed max iterations
48,HYDCAR6LS,failed,7.464012145996094,0.0002885183357937251,0.021430834525956614,1999,2011,240,Exceed max iterations
49,LANCZOS2LS,converged,0.18689703941345215,5.276602662105611e-07,6.195914894890876e-07,174,180,175,First order condition met
50,HEART6LS,failed,2.112183094024658,4.425901899514562e-06,7.06624013813572,1999,2009,641,Exceed max iterations
51,HIMMELBG,converged,0.01633596420288086,6.380171871266567e-14,8.749793944649109e-07,6,9,7,First order condition met
52,MARATOSB,failed,1.1682839393615723,-1.000000062499992,1.9022059960782028e-05,1635,1642,36,TR radius too small
53,TOINTQOR,converged,0.0847468376159668,1175.472222146169,7.25864129827208e-07,56,62,52,First order condition met
54,BRKMCC,converged,0.006036996841430664,0.16904267919645824,5.671721086317001e-07,10,15,11,First order condition met
55,STRTCHDV,converged,0.05808591842651367,4.1692776168904783e-10,8.026610747517889e-07,51,56,52,First order condition met
56,POWELLBSLS,converged,0.4477241039276123,3.893422190429686e-07,9.183837538850468e-07,707,721,611,First order condition met
57,DEVGLA2,failed,0.0003218650817871094,,,0,2,2,Obj is nan or +/-inf
58,HILBERTA,converged,0.004988193511962891,1.6249133690184982e-23,6.373202791715412e-12,4,7,5,First order condition met
59,RECIPELS,converged,0.05743002891540527,1.1743878532108294e-09,8.580806204793796e-07,46,51,47,First order condition met
60,PALMER2C,converged,0.03188490867614746,0.014368885669506223,9.405004445160861e-07,39,44,40,First order condition met
61,HIMMELBF,converged,0.06410980224609375,318.57174879199147,6.473860864660028e-07,52,58,43,First order condition met
62,ROSENBRTU,converged,0.10502195358276367,6.602381459789317e-15,7.262100387297533e-08,107,115,108,First order condition met
63,STRATEC,failed,0.08997869491577148,2818.43764509573,47492.95111805471,1,3,1,TR radius too small
64,MGH17LS,failed,0.1434171199798584,1.022208667058433,0.014336615609041405,125,132,51,TR radius too small
65,DEVGLA1,failed,0.00055694580078125,,,0,2,2,Obj is nan or +/-inf
66,BENNETT5LS,failed,0.0013780593872070312,,,0,2,2,Obj is nan or +/-inf
67,HILBERTB,converged,0.013328790664672852,2.275273852503495e-14,6.771477368138867e-07,9,14,10,First order condition met
68,HIMMELBCLS,converged,0.014384031295776367,1.7189178791730013e-15,4.3639313726918395e-07,16,21,17,First order condition met
69,DMN15332LS,failed,35.74256730079651,1332.8971942090568,1.535780288498751,1999,2009,1538,Exceed max iterations
70,BROWNDEN,converged,0.0425419807434082,85822.20135243256,2.4598997267044585e-07,50,56,47,First order condition met
71,LSC1LS,converged,0.07503604888916016,7.711852238819962,1.5268785945624452e-08,78,84,77,First order condition met
72,HIMMELBH,converged,0.04430389404296875,-0.9999999999999509,4.932854009223634e-07,31,37,31,First order condition met
73,ENGVAL2,converged,0.05721712112426758,9.017287171810384e-15,3.5983337388262037e-07,61,72,61,First order condition met
74,POWELLSQLS,converged,0.022762060165405273,3.9349921159844077e-13,1.0011589525882966e-07,26,33,27,First order condition met
75,CERI651DLS,converged,0.3260340690612793,14.017529862415188,8.872032783720929e-07,327,345,273,First order condition met
76,GAUSSIAN,converged,0.0062367916107177734,1.1279371016976316e-08,6.408502496599947e-07,6,11,7,First order condition met
77,MISRA1BLS,failed,1.1899199485778809,0.07546541931431719,140.52825087093527,1999,2005,171,Exceed max iterations
